id,nombre,unidad,stock_actual,salidas_5_meses,rotacion_pct,ultima_salida,categoria,ubicacion
362,"PROYECTO ESPECIAL 14, 30 X 35 CM X 7/8""",PIEZAS,2.00,0,0.00,,Sin Categoría,SIN-UBICACION
488,"PLACA 45X35 CM X 1/2"" 8 ORIFICIOS",PIEZAS,2.00,0,0.00,,Sin Categoría,SIN-UBICACION
670,TENSOR 1/4”,PIEZAS,2.00,0,0.00,,CONEXIONES,RENOMBRAR
671,TENSOR 3/8” ALUMINIO,PIEZAS,2.00,0,0.00,,CONEXIONES,RENOMBRAR
600,"PLACA 8, 11 CM",PIEZAS,2.00,0,0.00,,Sin Categoría,SIN-UBICACION
580,"PLATILLA PARA PLACA 1, 45 X 45 CM",PIEZAS,2.00,0,0.00,,Sin Categoría,SIN-UBICACION
359,"PROYECTO ESPECIAL 11, 16 CM X 1/8""",PIEZAS,2.00,0,0.00,,Sin Categoría,SIN-UBICACION
587,"PLACA 3, 25 X 25 CM",PIEZAS,2.00,0,0.00,,Sin Categoría,SIN-UBICACION
620,PLASTI MAGIC,PIEZAS,2.00,0,0.00,,Sin Categoría,SIN-UBICACION
604,"PLACA 35 X 35 CM X 5/8""",PIEZAS,2.00,0,0.00,,Sin Categoría,SIN-UBICACION
593,"PLACA 7, 15 X 15 CM",PIEZAS,2.00,0,0.00,,Sin Categoría,SIN-UBICACION
638,CONTRA PLACA X1,PIEZAS,2.00,0,0.00,,Sin Categoría,REVISAR
522,"PERFIL DE ALUMINIO TIPO ""C"" 1 X 1/2""",PIEZAS,2.00,0,0.00,,Sin Categoría,REVISAR
357,"PROYECTO ESPECIAL 9, 15 CM X 1/8""",PIEZAS,2.00,0,0.00,,Sin Categoría,SIN-UBICACION
433,MALLA DELIMITACIÓN,PIEZAS,2.00,0,0.00,,CIMENTACIÓN,ALBAÑILERIA
658,ALCAYATA DE CIMENTACIÓN,PIEZAS,2.00,0,0.00,,CIMENTACIÓN,ALBAÑILERIA
512,CARRETILLA PARA CLOSET DOBLE,PIEZAS,2.00,0,0.00,,HERRAJES,VENTA
331,"CODO 1 1/2"" - 90°",PIEZAS,2.00,0,0.00,,MANTENIMIENTO,HIDRAULICO
692,DISCO DE DESBASTE DEWALT,PIEZAS,2.00,0,0.00,,Sin Categoría,REVISAR
574,ACEITE PARA MÁQUINAS DE COSER,LITROS,2.00,0,0.00,,MANTENIMIENTO,MANUFACTURA
323,"""T"" CPVC 1/2""",PIEZAS,2.00,0,0.00,,MANTENIMIENTO,HIDRAULICO
57,CINTA DELIMITADORA,PIEZAS,2.00,0,0.00,,MANTENIMIENTO,GENERAL
702,PINTURA GRIS,KG,1.25,0,0.00,,Sin Categoría,REVISAR
556,HILO TRANSPARENTE,PIEZAS,1.00,0,0.00,,ACABADOS,MANUFACTURA
552,REFLECTOR LED REF-303L,PIEZAS,1.00,0,0.00,,Sin Categoría,SIN-UBICACION
428,"TAPA 12 3/4"" X 3/8""",PIEZAS,1.00,0,0.00,,Sin Categoría,SIN-UBICACION
521,"""T"" DE ALUMINIO 1 X 1""",PIEZAS,1.00,0,0.00,,Sin Categoría,REVISAR
621,LIMPIADOR DE ALUMINIO,LITROS,1.00,0,0.00,,ACABADOS,PINTURA
329,"TUERCA UNION PVC 1 1/2""",PIEZAS,1.00,0,0.00,,Sin Categoría,SIN-UBICACION
321,"TAPÓN CPVC 1""",PIEZAS,1.00,0,0.00,,SIN CATEGORÍA,EXTRAS
622,REMOVEDOR DE ADHESIVO,PIEZAS,1.00,0,0.00,,Sin Categoría,SIN-UBICACION
427,"TAPA 31 1/2"" X 3/16""",PIEZAS,1.00,0,0.00,,Sin Categoría,SIN-UBICACION
550,PICHANCHA,PIEZAS,1.00,0,0.00,,MANTENIMIENTO,REVISAR
368,"PROYECTO ESPECIAL 20, 22 CM X 1/8""",PIEZAS,1.00,0,0.00,,Sin Categoría,SIN-UBICACION
857,"SOLERA 6"" X 3/8""",piezas,1.00,0,0.00,,PERFILES,HERRERIA
371,"PROYECTO ESPECIAL 23, 47 CM X 1/8""",PIEZAS,1.00,0,0.00,,Sin Categoría,SIN-UBICACION
603,ALAMBRE GALVANIZADO,KG,1.00,0,0.00,,MANTENIMIENTO,EXTRAS
366,"PROYECTO ESPECIAL 18, 27 CM X 1/8""",PIEZAS,1.00,0,0.00,,Sin Categoría,SIN-UBICACION
589,"PLACA 5, 15 X 15 CM",PIEZAS,1.00,0,0.00,,Sin Categoría,SIN-UBICACION
561,"RESORTE 2""",PIEZAS,1.00,0,0.00,,Sin Categoría,SIN-UBICACION
673,"GANCHO ""S""",PIEZAS,1.00,0,0.00,,CONEXIONES,EXTRAS
367,"PROYECTO ESPECIAL 19, 32 X 32 CM X 7/8""",PIEZAS,1.00,0,0.00,,Sin Categoría,SIN-UBICACION
425,"CANALETA PARA CABLES 1""",PIEZAS,1.00,0,0.00,,MANTENIMIENTO,EXTRAS
578,SOCLO PVC,PIEZAS,1.00,0,0.00,,Sin Categoría,SIN-UBICACION
548,CHUMACERA PARA ROLADORA,PIEZAS,1.00,0,0.00,,MANTENIMIENTO,HERRERIA
328,"COPLE HEMBRA A ROSCA MACHO PVC 1 1/2""",PIEZAS,1.00,0,0.00,,MANTENIMIENTO,HIDRAULICO
315,"ABRAZADERA UÑA 3/4""",PIEZAS,1.00,0,0.00,,MANTENIMIENTO,ELECTRICO
104,"RONDANA ALTA 1""",PIEZAS,268.00,1.00,0.37,2025-11-24,TORNILLERIA,EXTRAS
195,"TUERCA SEGURIDAD 5/8""",PIEZAS,193.00,1.00,0.52,2026-02-06,TORNILLERIA,INSTALACIÓN
385,"TUBO 1/2"" X 6.5 CM",PIEZAS,140.00,1.00,0.71,2026-04-02,Sin Categoría,SIN-UBICACION
381,"REDONDO 5/8"" X 2""",PIEZAS,130.00,1.00,0.77,2026-04-02,Sin Categoría,SIN-UBICACION
281,"TAPA 3"" X 1/4""",PIEZAS,119.00,1.00,0.84,2026-01-07,PLACAS,HERRERIA
194,TORNILLO INOX. MAQUINA IMPORTACIÓN,PIEZAS,657.00,6.00,0.91,2025-12-11,TORNILLERIA,INSTALACIÓN
